Method,Number of Inputs,Number of Outputs,Input Size,Output Size,Process Time,Target
graph01,1,1,119607,136753,10.23672366142273,0
graph01,1,1,98027,112081,6.729271650314331,0
graph01,1,1,119031,136097,9.926668167114258,0
graph01,1,1,205298,234705,30.54089069366455,0
graph01,1,1,107253,122609,8.067417621612549,0
graph01,1,1,147338,168433,14.882633686065674,0
graph01,1,1,145521,166369,14.53468632698059,0
graph01,1,1,170185,194561,19.860235691070557,0
graph01,1,1,122108,139601,10.099737405776978,0
graph01,1,1,153483,175473,15.995838403701782,0
graph01,1,1,206339,235857,28.98370051383972,0
graph01,1,1,179529,205249,21.833861351013184,0
graph01,1,1,122337,139873,10.190155982971191,0
graph01,1,1,175667,200833,21.1561176776886,0
graph01,1,1,69223,79153,3.2581629753112793,0
graph01,1,1,124500,142321,10.494298934936523,0
graph01,1,1,114924,131409,8.968188285827637,0
graph01,1,1,153338,175281,16.00496554374695,0
graph01,1,1,122679,140257,10.256932973861694,0
graph01,1,1,116727,133425,9.275721311569214,0
graph01,1,1,177806,203281,21.66568946838379,0
graph01,1,1,170721,195153,20.402560234069824,0
graph01,1,1,201852,230753,29.120311498641968,0
graph01,1,1,180460,206273,22.241116762161255,0
graph01,1,1,199043,227537,28.7685444355011,0
graph01,1,1,158654,181377,17.155062437057495,0
graph01,1,1,115105,131585,9.001918077468872,0
graph01,1,1,113962,130321,8.813735485076904,0
graph01,1,1,157224,179729,16.775847673416138,0
graph01,1,1,136799,156417,12.701619386672974,0
graph01,1,1,201688,230577,27.75000023841858,0
graph01,1,1,86207,98577,5.065658330917358,0
graph01,1,1,73170,83665,3.6670429706573486,0
graph01,1,1,149522,170913,15.162035942077637,0
graph01,1,1,85059,97249,4.910815715789795,0
graph01,1,1,105877,121073,7.633912563323975,0
graph01,1,1,175258,200353,20.89540958404541,0
graph01,1,1,173103,197889,20.646337509155273,0
graph01,1,1,192755,220321,25.897478580474854,0
graph01,1,1,143779,164369,14.029120683670044,0
graph01,1,1,97141,111073,6.4025397300720215,0
graph01,1,1,145010,165777,14.29056715965271,0
graph01,1,1,93415,106785,5.856112241744995,0
graph01,1,1,99634,113921,6.701100826263428,0
graph01,1,1,160208,183105,17.235544681549072,0
graph01,1,1,177892,203361,21.308043718338013,0
graph01,1,1,177275,202657,21.413501024246216,0
graph01,1,1,124527,142353,10.412649154663086,0
graph01,1,1,124942,142833,10.46305537223816,0
graph01,1,1,142194,162545,13.669558763504028,0
graph01,1,1,169368,193617,19.433419704437256,0
graph01,1,1,183929,210273,22.977795362472534,0
graph01,1,1,185048,211569,23.31005311012268,0
graph01,1,1,168297,192401,19.154951810836792,0
graph01,1,1,135669,155105,12.54857850074768,0
graph01,1,1,206448,235985,29.208651542663574,0
graph01,1,1,142863,163297,14.029187440872192,0
graph01,1,1,137667,157361,12.863577604293823,0
graph01,1,1,164834,188449,18.43620753288269,0
graph01,1,1,140888,161057,13.47968316078186,0
graph01,1,1,119049,136161,9.682504177093506,0
graph01,1,1,110845,126705,8.445643663406372,0
graph01,1,1,142722,163185,14.009894132614136,0
graph01,1,1,148112,169329,15.159589290618896,0
graph01,1,1,184750,211185,24.506204843521118,0
graph01,1,1,127105,145313,11.071815729141235,0
graph01,1,1,186046,212673,23.917171955108643,0
graph01,1,1,119446,136561,9.77204942703247,0
graph01,1,1,126158,144273,10.901070594787598,0
graph01,1,1,127519,145809,11.14961552619934,0
graph01,1,1,105834,120993,7.681316137313843,0
graph01,1,1,203500,232641,28.7103533744812,0
graph01,1,1,145832,166705,14.548796892166138,0
graph01,1,1,94074,107537,6.048004388809204,0
graph01,1,1,168469,192577,19.562378644943237,0
graph01,1,1,202272,231249,28.485440969467163,0
graph01,1,1,69276,79217,3.328261613845825,0
graph01,1,1,93761,107201,6.087672710418701,0
graph01,1,1,161296,184401,18.595839023590088,0
graph01,1,1,76315,87265,4.018381118774414,0
graph01,1,1,84497,96625,4.884537696838379,0
graph01,1,1,131183,149969,11.663707494735718,0
graph01,1,1,128075,146417,11.27243161201477,0
graph01,1,1,179112,204769,21.943063020706177,0
graph01,1,1,142374,162753,13.757137537002563,0
graph01,1,1,81826,93569,4.543341875076294,0
graph01,1,1,96670,110545,6.334590911865234,0
graph01,1,1,125176,143121,10.759645700454712,0
graph01,1,1,131251,150049,11.658074855804443,0
graph01,1,1,84983,97169,4.899239540100098,0
graph01,1,1,113161,129377,8.715646028518677,0
graph01,1,1,176432,201681,21.024389505386353,0
graph01,1,1,189234,216289,24.277973890304565,0
graph01,1,1,75995,86897,3.8846890926361084,0
graph01,1,1,95678,109393,6.163552522659302,0
graph01,1,1,190230,217473,24.518855571746826,0
graph01,1,1,135276,154657,12.517672538757324,0
graph01,1,1,168371,192497,19.319841146469116,0
graph01,1,1,192440,219937,25.220805168151855,0
graph01,1,1,160366,183329,17.51093316078186,0
graph02,2,1,239253,92209,9.893512487411499,1
graph02,2,1,196034,75745,6.914805889129639,1
graph02,2,1,238059,91665,9.815052032470703,1
graph02,2,1,410677,157361,30.43897843360901,1
graph02,2,1,214444,82801,8.16812777519226,1
graph02,2,1,294569,113137,14.912812232971191,1
graph02,2,1,291024,111889,14.656675577163696,1
graph02,2,1,340388,130561,19.899086475372314,1
graph02,2,1,244278,94113,10.186609029769897,1
graph02,2,1,307018,118001,16.05705213546753,1
graph02,2,1,412776,158145,29.08861255645752,1
graph02,2,1,359173,137713,21.950642824172974,1
graph02,2,1,244709,94353,10.180916786193848,1
graph02,2,1,351300,134769,21.126898050308228,1
graph02,2,1,138484,53905,3.275796413421631,1
graph02,2,1,248975,95937,10.546212673187256,1
graph02,2,1,229874,88673,8.963540315628052,1
graph02,2,1,306687,117825,16.001570463180542,1
graph02,2,1,245343,94497,10.29525375366211,1
graph02,2,1,233414,90065,9.307032108306885,1
graph02,2,1,355631,136401,21.67564105987549,1
graph02,2,1,341391,130913,20.208948850631714,1
graph02,2,1,403674,154625,30.015681982040405,1
graph02,2,1,360936,138257,22.35621976852417,1
graph02,2,1,398102,152433,28.648791074752808,1
