Method,Number of Inputs,Number of Outputs,Input Size,Output Size,Process Time,Target
graph01,1,1,119616,200401,5.771981954574585,0
graph01,1,1,98032,164289,3.8798317909240723,0
graph01,1,1,119040,199537,5.820258855819702,0
graph01,1,1,205312,343953,17.063712120056152,0
graph01,1,1,107264,179777,4.667445182800293,0
graph01,1,1,147344,246865,8.829477310180664,0
graph01,1,1,145536,243841,8.59563684463501,0
graph01,1,1,170192,285073,11.773650884628296,0
graph01,1,1,122112,204689,6.059798002243042,0
graph01,1,1,153488,257201,9.588372945785522,0
graph01,1,1,206352,345761,17.31524133682251,0
graph01,1,1,179536,300977,13.096728086471558,0
graph01,1,1,122352,205025,6.1003148555755615,0
graph01,1,1,175680,294369,12.546008110046387,0
graph01,1,1,69232,116065,1.9478130340576172,0
graph01,1,1,124512,208657,6.304958343505859,0
graph01,1,1,114928,192561,5.37362003326416,0
graph01,1,1,153344,256929,9.558279037475586,0
graph01,1,1,122688,205617,6.115300178527832,0
graph01,1,1,116736,195601,5.536165237426758,0
graph01,1,1,177808,297969,12.851094007492065,0
graph01,1,1,170736,286081,11.874250173568726,0
graph01,1,1,201856,338257,16.56684684753418,0
graph01,1,1,180464,302241,13.241513013839722,0
graph01,1,1,199056,333377,16.103713989257812,0
graph01,1,1,158656,265921,10.236464977264404,0
graph01,1,1,115120,192961,5.572112321853638,0
graph01,1,1,113968,191041,5.291425943374634,0
graph01,1,1,157232,263489,10.030468940734863,0
graph01,1,1,136800,229169,7.602967977523804,0
graph01,1,1,201696,337905,16.546512842178345,0
graph01,1,1,86208,144433,3.027085065841675,0
graph01,1,1,73184,122593,2.175879955291748,0
graph01,1,1,149536,250529,9.094154119491577,0
graph01,1,1,85072,142689,2.9421849250793457,0
graph01,1,1,105888,177457,4.563534259796143,0
graph01,1,1,175264,293585,12.483084201812744,0
graph01,1,1,173104,290177,12.183730125427246,0
graph01,1,1,192768,323105,15.098743200302124,0
graph01,1,1,143792,240977,8.409696102142334,0
